date,amount,description,category,payment_mode
2023-10-21,1106.51,FLIPKART MADRID TXN 926142,Shopping,Debit Card
2024-01-22,13397.59,VENMO PAYMENT 692315,Transfer,UPI
2025-11-08,866.45,LIDL AMSTERDAM TXN 330395,Shopping,Debit Card
2023-01-16,2536.66,SUBSCRIPTION AMAZON PRIME 895774 *ONLINE,Entertainment,Card
2025-03-04,14559.84,FLIPKART MIAMI TXN 514393,Shopping,Debit Card
2024-08-03,3965.67,PAYMENT TO CREDIT CARD SBI 360069,Bills & Utilities,Credit Card
2024-04-02,11964.24,KFC MUMBAI TXN 833399,Food & Dining,Debit Card
2025-03-21,7874.94,SUBSCRIPTION AMAZON PRIME 526377,Entertainment,Card
2025-11-05,3903.75,SWIGGY AMSTERDAM TXN 777543,Food & Dining,UPI
2024-01-11,7712.86,SHELL NY TXN 565338,Fuel,Debit Card
2025-08-28,3748.6,BOOTSCHEMIST 879253,Healthcare,Card
2024-04-01,13998.06,ELECTRICITY BILL 104661,Bills & Utilities,Net Banking
2024-03-04,14932.75,HDFC/NEFT TO ZARA 404038 *CARD,Transfer,Card Present
2023-06-13,10513.45,SHELL BENGALURU TXN 704180,Fuel,Debit Card
2025-07-26,955.88,NETFLIX.COM/BILL 672423,Entertainment,Credit Card
2023-11-07,11171.49,JIO RECHARGE 823602,Bills & Utilities,Net Banking
2025-07-28,5375.87,VENMO PAYMENT 792351,Transfer,UPI
2024-05-01,11033.39,BOOTSCHEMIST 437304 *CARD,Healthcare,Card Present
2025-11-14,5818.41,STRIPE*UBER 339349,Shopping,Card
2024-01-21,7738.38,STRIPE*MAKEMYTRIP 175592,Shopping,Card
2025-11-13,14242.2,MCDONALDS MUMBAI POS 885804,Food & Dining,Debit Card
2023-02-12,8632.23,MOBILE TOPUP Jio 250044,Bills & Utilities,Wallet
2023-01-09,14235.27,MYNTRA AMSTERDAM TXN 292117 *CARD,Shopping,Debit Card
2025-11-01,13730.62,DMART 413150 *POS,Groceries,Card Present
2025-01-10,9590.29,TARGET STORE850 704567,Shopping,Credit Card
2023-07-20,2428.44,ZOMATO CHICAGO TXN 417382,Food & Dining,UPI
2023-10-24,4304.99,NETFLIX.COM/BILL 942847,Entertainment,Credit Card
2025-10-02,10427.42,IRCTC 427584 INDIAN RAIL,Travel,Net Banking
2023-03-06,11161.42,NETFLIX.COM/BILL 52211,Entertainment,Credit Card
2024-09-30,12110.0,PAYPAL *BIG BAZAAR 990725,Shopping,Wallet
2023-04-18,1646.3,GOOGLE *PLAY 473533 *POS,Entertainment,Credit Card
2023-07-22,12165.5,Txn: APPLE.COM/BILL 53610,Entertainment,Credit Card
2024-08-01,11984.74,EASYJET 319979 *CARD,Travel,Card Present
2023-11-20,5375.0,UPI/977073/DELTA AIRLINES,Shopping,UPI
2024-03-02,7649.28,IRCTC E-TICKET 565915,Travel,Net Banking
2023-04-15,12509.24,AUTOPAY AMZN PRIME 221118,Entertainment,AutoDebit
2024-08-02,12586.13,APOLLO PHARMACY 565108,Healthcare,Card
2024-06-06,11088.41,RECHARGE Vodafone 848851,Bills & Utilities,UPI
2023-05-21,9410.93,AMZN.COM/BILL 605379,Shopping,Credit Card
2023-09-27,11799.91,IRCTC 806473 INDIAN RAIL,Travel,Net Banking
2025-02-07,5343.61,EASYJET 831609,Travel,Credit Card
2023-01-30,12209.88,PAYMENT TO CREDIT CARD SBI 46051,Bills & Utilities,Credit Card
2023-07-27,4353.22,APPLE.COM/BILL 508165,Entertainment,Credit Card
2024-07-19,6265.24,AUTOPAY AMZN PRIME 941130,Entertainment,AutoDebit
2024-10-08,2596.28,VENMO PAYMENT 360206,Transfer,UPI
2023-03-18,3490.98,ALDI 962040,Groceries,Debit Card
2023-06-23,14640.96,GAS BILL 642419,Bills & Utilities,Net Banking
2025-03-04,5786.32,NETFLIX.COM/BILL 714468,Entertainment,Credit Card
2024-08-06,7163.44,UPI/461211/AMAZON,Shopping,UPI
2024-12-29,11930.08,AIRTEL BILLPAY 558638,Bills & Utilities,Net Banking
2023-06-02,9185.26,UBER PARIS TXN 870118,Travel,Credit Card
2023-02-16,11728.01,MOBILE TOPUP Airtel 862639 *POS,Bills & Utilities,Debit Card
2025-04-09,5140.21,STARBUCKS KOLKATA POS 105005,Food & Dining,Debit Card
2024-08-30,10632.68,TESCO STORES 252899,Groceries,Debit Card
2023-04-07,1298.43,Debited STRIPE*IRCTC 843019,Shopping,Card
2025-05-05,249.17,PAYTM-TO-APPLE 381942,Shopping,Digital Wallet
2023-06-16,4664.19,BOOTSCHEMIST 686555 *ONLINE,Healthcare,Card
2025-07-13,7589.12,SBI/IMPS TO LYFT 48928 *POS,Transfer,Card Present
2025-08-18,10841.51,Alert: PAYMENT TO CREDIT CARD AXIS 404888,Bills & Utilities,Debit Card
2024-04-18,890.17,APOLLO PHARMACY 821442 *ONLINE,Healthcare,Card
2025-05-20,8998.18,Alert: TESCO STORES 643870,Groceries,Debit Card
2023-11-24,14440.66,SWIGGY CHENNAI TXN 916141,Food & Dining,UPI
2024-07-10,10027.72,CARREFOUR 763942,Groceries,Debit Card
2024-04-20,11301.03,SPOTIFY *SUBSCRIPTION 306807,Entertainment,Card
2023-05-16,691.75,PAYTM-TO-LYFT 700133,Shopping,Wallet
2023-07-26,13848.73,LIDL 720336,Groceries,Debit Card
2023-04-16,961.26,APPLE.COM/BILL 102665,Entertainment,Credit Card
2025-03-09,7677.44,TESCO STORES 70563,Groceries,Debit Card
2023-07-27,5485.72,UBER SAN FRANCISCO TXN 471707,Travel,Credit Card
2023-03-30,4561.88,VENMO PAYMENT 15123,Transfer,Wallet
2024-03-08,6446.05,PAYPAL *SWIGGY 968907,Shopping,Wallet
2024-03-03,8412.27,APOLLO PHARMACY 538397 *ONLINE,Healthcare,Card
2024-06-17,2944.63,ACH DEBIT JIO 800806,Bills & Utilities,ACH
2023-03-24,14535.18,APPLE.COM/BILL 63389,Entertainment,Credit Card
2023-12-20,4923.46,RYANAIR 812080,Travel,Credit Card
2024-12-20,4095.23,GAS BILL 969733,Bills & Utilities,Net Banking
2023-03-23,488.9,ZOMATO BERLIN TXN 83131,Food & Dining,UPI
2024-05-20,3980.55,HP PETROL PUMP PARIS TXN 424850,Fuel,Debit Card
2025-05-07,8721.92,TESCO STORES 681830 *ONLINE,Groceries,Debit Card
2025-07-18,11377.92,APPLE.COM/BILL 986991,Entertainment,Credit Card
2025-09-03,6413.33,PAYPAL *AIRTEL 361682,Shopping,UPI
2023-12-06,10395.76,LIDL 171745,Groceries,Debit Card
2023-08-29,7567.5,PAYMENT TO CREDIT CARD HDFC 544628,Bills & Utilities,Debit Card
2025-05-01,6418.51,APOLLO PHARMACY 735514,Healthcare,Card
2024-03-20,10838.92,CVS PHARMACY 709040,Healthcare,Card
2025-09-04,6541.0,DMART 671475,Groceries,Debit Card
2025-08-18,11385.03,PAYMENT TO CREDIT CARD HDFC ATM 310814,Bills & Utilities,Debit Card
2024-03-27,11355.21,STARBUCKS CHICAGO POS 463099,Food & Dining,Debit Card
2024-11-18,1508.89,RYANAIR PARIS TXN 801666,Shopping,Debit Card
2024-11-22,14891.35,WALMART.COM 493287,Shopping,Credit Card
2023-10-03,14940.53,APOLLO PHARMACY 23489,Healthcare,Card
2024-12-05,1761.27,SUBWAY BERLIN POS 406183,Food & Dining,Debit Card
2023-06-20,14572.35,ACH DEBIT ZARA 494819,Bills & Utilities,ACH
2024-01-23,12269.27,MICROSOFT MADRID TXN 759591 *POS,Shopping,Debit Card
2024-09-17,11753.79,CARREFOUR 886373,Groceries,Debit Card
2023-07-20,9785.8,GOOGLE *PLAY 522549 *ONLINE,Entertainment,Credit Card
2024-09-26,8464.13,ACH DEBIT OLA 671701,Bills & Utilities,ACH
2023-09-22,6706.72,ZELLE PAYMENT TO OLA 751101,Transfer,Zelle
2024-03-09,2773.12,AIRTEL BILLPAY 331758,Bills & Utilities,Net Banking
2025-04-29,10568.2,DELTA AIRLINES 488222,Travel,Credit Card
2023-12-05,13557.97,AIRTEL BILLPAY 272552,Bills & Utilities,Net Banking
2023-05-15,10018.97,RYANAIR 612059,Travel,Credit Card
2025-06-25,1111.55,HDFC/NEFT TO ZALANDO 716950 *ONLINE,Transfer,NEFT
2024-11-28,11311.72,NEFT TO PAYTM 881723,Transfer,Wallet
2023-10-09,9754.61,RYANAIR 496961 *POS,Travel,Card Present
2023-07-04,10988.07,Alert: TESCO STORES 333939,Groceries,Debit Card
2023-08-13,9963.21,RECHARGE Airtel 499287,Bills & Utilities,UPI
2023-08-17,7151.28,SUBSCRIPTION AMAZON PRIME 81600,Entertainment,Card
2024-12-18,2091.1,IMPS TRANSFER TO GOIBIBO 741794,Shopping,IMPS
2025-07-26,7487.42,INDIAN OIL SAN FRANCISCO TXN 701253,Fuel,Debit Card
2023-03-28,12406.88,TESCO STORES 555940,Groceries,Debit Card
2024-09-11,5163.41,SPOTIFY *SUBSCRIPTION 762122,Entertainment,Card
2025-04-23,14879.26,NEFT TO EASYJET 409060,Transfer,NEFT
2025-02-27,5875.69,ALDI 843794 *CARD,Groceries,Card Present
2024-05-16,2238.05,RYANAIR 417678,Travel,Credit Card
2024-03-10,14227.93,AMAZON PAY *GOIBIBO 823222,Shopping,Wallet
2024-08-16,429.04,VENMO PAYMENT 409319,Transfer,UPI
2025-06-15,2075.18,ACH DEBIT H&M 460592,Bills & Utilities,ACH
2023-03-03,6585.83,DMART 459622,Groceries,Debit Card
2023-05-27,3613.48,PAYTM-TO-UBER 813733,Shopping,Digital Wallet
2024-02-23,2424.59,MAKEMYTRIP 545333,Travel,Credit Card
2024-11-03,8199.5,WALMART.COM 817390,Shopping,Credit Card
2025-03-24,11110.05,MYNTRA LOS ANGELES TXN 262003,Shopping,IMPS
2024-04-23,14744.43,Alert: NETFLIX.COM/BILL 610241,Entertainment,Credit Card
2025-11-11,7967.34,IRCTC E-TICKET 241271,Travel,Net Banking
2024-08-01,13728.54,ZOMATO CHENNAI TXN 560817,Food & Dining,UPI
2024-09-11,11879.43,TESCO STORES 36372,Groceries,Debit Card
2023-03-08,3580.57,EASYJET 824355,Travel,Credit Card
2025-09-16,8195.08,PAYMENT TO ZALANDO VIA BHIM UPI 224989,Shopping,UPI
2025-01-24,10632.94,Txn: FLIPKART HYDERABAD TXN 811062,Shopping,Debit Card
2025-07-24,5186.51,NETFLIX.COM/BILL 904939,Entertainment,Credit Card
2023-10-21,10151.12,PAYMENT TO UBER VIA BHIM UPI 429492 *ONLINE,Shopping,UPI
2023-04-14,9274.86,PAYPAL *INDIAN OIL 630823,Shopping,Wallet
2024-10-10,11145.12,SUBWAY HYDERABAD POS 349458,Food & Dining,Card Present
2023-01-26,11838.15,SPOTIFY *SUBSCRIPTION 967474,Entertainment,Card
2025-07-22,10868.92,HP PETROL PUMP CHENNAI TXN 903111,Fuel,Debit Card
2025-11-03,9219.96,AUTOPEY ALDI 470289,Bills & Utilities,AutoDebit
2023-05-22,4176.88,EASYJET LONDON TXN 41873,Shopping,Debit Card
2025-01-24,280.85,SWIGGY AHMEDABAD TXN 342392,Food & Dining,UPI
2023-03-23,13996.99,ZELLE PAYMENT TO AIRTEL 53860,Transfer,Zelle
2023-03-14,12573.06,AIRTEL BILLPAY 11957,Bills & Utilities,Net Banking
2023-09-17,10918.88,Debited MYNTRA MUMBAI TXN 40930,Shopping,IMPS
2025-02-26,12391.83,LIDL 792094,Groceries,Debit Card
2023-11-01,7169.39,SBI/IMPS TO MICROSOFT 468600,Transfer,IMPS
2025-03-16,733.18,Txn: NEFT TO HDFC 304411,Transfer,NEFT
2023-10-31,2221.29,AIRTEL AHMEDABAD TXN 226302,Shopping,Debit Card
2024-11-22,9460.86,Alert: PAYMENT TO MYNTRA VIA BHIM UPI 996361,Shopping,UPI
2023-05-03,4801.84,TESCO STORES 525297,Groceries,Debit Card
2024-12-19,6593.88,AUTOPEY AMAZON 266534 *POS,Bills & Utilities,AutoDebit
2025-07-06,14271.45,TESCO STORES 847204,Groceries,Debit Card
2023-06-09,4076.16,JIO RECHARGE 245421 *POS,Bills & Utilities,Credit Card
2024-03-11,4407.09,OLA/UBER RIDE 249026,Travel,UPI
2023-02-05,10997.03,RYANAIR 737968,Travel,Credit Card
2024-07-03,5786.26,Debited IRCTC E-TICKET 625939,Travel,Net Banking
2025-08-24,13993.32,KFC MADRID TXN 827632,Food & Dining,Debit Card
2024-05-08,13618.29,HDFC/NEFT TO BIG BAZAAR 154822,Transfer,NEFT
2023-11-06,1028.84,VENMO PAYMENT 442424,Transfer,Wallet
2023-01-17,11592.99,BIG BAZAAR 484602 *CARD,Groceries,Credit Card
2023-02-16,6467.56,WALMART.COM 45006 *POS,Shopping,Card Present
2023-05-12,12904.19,APPLE.COM/BILL 895126,Entertainment,Credit Card
2023-07-21,2764.59,SWIGGY CHICAGO TXN 135492,Food & Dining,UPI
2023-01-28,14937.05,IMPS TRANSFER TO UBER 339024,Shopping,IMPS
2024-03-25,6333.39,GOOGLE *PLAY 413310,Entertainment,Credit Card
2023-08-12,14349.84,INDIAN OIL LONDON TXN 951564,Fuel,Debit Card
2023-11-14,9290.62,VENMO PAYMENT 801075,Transfer,Wallet
2025-07-26,6700.77,TARGET STORE650 809346,Shopping,Credit Card
2023-10-03,5362.54,BIG BAZAAR 392221,Groceries,Debit Card
2023-03-09,3002.15,Credited KFC DELHI TXN 248459,Food & Dining,Debit Card
2025-07-21,12561.03,PAYMENT TO CREDIT CARD ICICI ATM 510020,Bills & Utilities,Card Present
2025-01-23,8727.93,MYNTRA HYDERABAD TXN 17499,Shopping,Debit Card
2023-08-01,5858.25,WALMART.COM 150862,Shopping,Credit Card
2025-02-18,14312.55,DMART 291938 *ONLINE,Groceries,Debit Card
2024-05-01,13442.88,Credited GAS BILL 51673,Bills & Utilities,Net Banking
2023-08-01,561.2,SBI/IMPS TO TARGET 119330,Transfer,IMPS
2024-08-30,1124.3,SUBSCRIPTION AMAZON PRIME 404244 *ONLINE,Entertainment,Card
2024-07-05,5229.97,Alert: APPLE.COM/BILL 963352,Entertainment,Credit Card
2023-12-06,5810.4,AUTOPAY AMZN PRIME 279035,Entertainment,AutoDebit
2023-07-26,7173.68,ATM CASH WITHDRAWAL SBI ATM ATM 368772,Cash Withdrawal,ATM
2024-12-10,837.0,BIG BAZAAR 596072,Groceries,Debit Card
2024-08-05,9270.93,ACH DEBIT H&M 277292,Bills & Utilities,ACH
2024-07-14,10559.01,VENMO PAYMENT 934374 *POS,Transfer,Wallet
2025-01-28,11849.98,INSURANCE PREMIUM AMAZON 926664,Bills & Utilities,Net Banking
2023-05-27,9376.35,Credited IRCTC BENGALURU TXN 742719,Shopping,Debit Card
2025-05-06,1672.35,SBI/IMPS TO COSTCO 345933,Transfer,IMPS
2023-01-27,13213.37,AIRTEL BILLPAY 207869,Bills & Utilities,Net Banking
2023-01-14,4589.88,AMZN MKTP GLOBAL 555362,Shopping,Credit Card
2023-04-13,1394.73,INSURANCE PREMIUM JIO 104343,Bills & Utilities,Net Banking
2023-02-21,9406.3,IMPS TRANSFER TO IOC 115032,Shopping,IMPS
2025-08-13,984.42,BIG BAZAAR 306742,Groceries,Debit Card
2024-09-26,12145.04,RYANAIR 556351,Travel,Credit Card
2023-11-17,9717.37,APPLE.COM/BILL 243623,Entertainment,Credit Card
2023-02-24,13270.6,UBER BENGALURU TXN 106168,Travel,Credit Card
2024-06-19,7358.85,TESCO STORES 841239 *POS,Groceries,Credit Card
2023-06-01,13213.94,Credited UPI/469406/TATACLIQ,Shopping,UPI
2025-04-26,3091.72,INDIAN OIL LOS ANGELES TXN 490669,Fuel,Debit Card
2025-11-05,4483.69,WALMART.COM 542342,Shopping,Credit Card
2025-08-17,11963.76,MOBILE TOPUP Vodafone 743087 *POS,Bills & Utilities,Debit Card
2023-07-09,1429.21,MOBILE TOPUP Vodafone 860024,Bills & Utilities,Wallet
2024-07-25,8612.23,NEFT TO KFC 263677,Transfer,NEFT
2024-03-01,7073.06,ATM CASH WITHDRAWAL HDFC ATM 102554,Cash Withdrawal,ATM
2023-12-09,11179.24,IRCTC E-TICKET 183669,Travel,Net Banking
2023-08-08,3735.29,EASYJET 843621,Travel,Credit Card
2024-04-15,10580.15,APOLLO PHARMACY 679655,Healthcare,Card
2023-07-24,1911.79,IRCTC 724518 INDIAN RAIL,Travel,Net Banking
2025-05-15,1362.43,PAYMENT TO CREDIT CARD SBI 509583,Bills & Utilities,Credit Card
2023-03-08,113.18,SUBSCRIPTION AMAZON PRIME 924447 *POS,Entertainment,Debit Card
2025-01-10,10055.5,ALDI 555252,Groceries,Debit Card
2023-09-02,14226.54,PAYMENT TO ADOBE VIA BHIM UPI 268220,Shopping,UPI
2023-03-16,5365.09,Debited JIO RECHARGE 322143,Bills & Utilities,Net Banking
2024-12-08,13173.28,INSURANCE PREMIUM TATACLIQ 799314,Bills & Utilities,Net Banking
2024-09-24,13502.64,ALDI 996400,Groceries,Debit Card
2024-10-06,10581.94,Alert: SUBSCRIPTION AMAZON PRIME 206481,Entertainment,Card
2025-03-04,9877.76,GOOGLE *PLAY 823712 *POS,Entertainment,Debit Card
2025-03-30,4365.99,KFC KOLKATA TXN 32353,Food & Dining,Debit Card
2025-06-24,4902.69,DELTA AIRLINES 88699,Travel,Credit Card
2024-02-27,2894.5,UBER DELHI TXN 191773,Travel,Credit Card
2024-12-02,3863.47,INSURANCE PREMIUM AMAZON 471332,Bills & Utilities,Net Banking
2024-11-27,7278.64,IRCTC E-TICKET 553341,Travel,Net Banking
2024-04-01,9590.98,MYNTRA ATLANTA TXN 610872,Shopping,IMPS
2024-04-01,9888.93,UPI/294559/AMAZON *ONLINE,Shopping,UPI
2025-03-08,76.94,SUBWAY BERLIN POS 801328,Food & Dining,Card Present
2025-08-27,10030.77,NEFT TO IKEA 856514,Transfer,NEFT
2024-12-20,11645.66,BIG BAZAAR 566379,Groceries,Debit Card
2024-07-11,7013.23,NEFT TO SPOTIFY 912162,Transfer,NEFT
2024-02-16,4342.57,MAKEMYTRIP 654965,Travel,Credit Card
2024-10-05,7275.62,KFC AHMEDABAD TXN 831752,Food & Dining,Debit Card
2025-09-25,2690.17,ZELLE PAYMENT TO AMAZON 349928,Transfer,Zelle
2025-03-09,2744.4,INDIAN OIL LONDON TXN 291724,Fuel,Debit Card
2024-05-04,928.26,RECHARGE Airtel 313534 *CARD,Bills & Utilities,Debit Card
2024-10-14,5920.77,STARBUCKS AHMEDABAD POS 893846,Food & Dining,Credit Card
2023-09-28,14009.53,STRIPE*INDIAN OIL 563948,Shopping,Card
2023-12-09,14592.45,ZELLE PAYMENT TO OLA 606613,Transfer,Zelle
2023-01-15,1209.1,AUTOPEY KFC 881536,Bills & Utilities,AutoDebit
2024-10-02,881.34,ATM CASH WITHDRAWAL AXIS ATM 862691,Cash Withdrawal,ATM
2025-03-04,11892.16,MAKEMYTRIP 614586,Travel,Credit Card
2025-09-30,5860.03,SBI/IMPS TO OLA 356396,Transfer,IMPS
2025-04-14,11350.25,IRCTC E-TICKET 369609,Travel,Net Banking
2024-03-13,2191.25,HP PETROL PUMP NY TXN 50141 *ONLINE,Fuel,Debit Card
2023-11-30,8889.97,APOLLO PHARMACY 882039,Healthcare,Card
2023-01-22,4773.76,Alert: STRIPE*TATACLIQ 401286,Shopping,Card
2024-09-03,5995.66,MYNTRA MADRID TXN 660300,Shopping,IMPS
2025-08-08,1525.5,LIDL 283449,Groceries,Debit Card
2025-10-31,7678.91,DELTA AIRLINES 927349 *CARD,Travel,Debit Card
2024-10-22,13654.78,UBER AHMEDABAD TXN 709216,Travel,Credit Card
2025-07-17,14911.02,MYNTRA DELHI TXN 270746,Shopping,IMPS
2025-09-14,3692.55,Credited STARBUCKS AHMEDABAD POS 633101,Food & Dining,Debit Card
2025-09-24,1482.05,Debited PAYTM-TO-MAKEMYTRIP 685990,Shopping,Digital Wallet
2024-01-12,3291.41,WALMART.COM 141211 *POS,Shopping,Debit Card
2025-04-27,14849.32,PAYTM-TO-APPLE 492009,Shopping,Digital Wallet
2023-01-24,3408.5,ATM CASH WITHDRAWAL SBI ATM 446754,Cash Withdrawal,ATM
2024-04-06,2550.15,UPI/554399/AMAZON,Shopping,UPI
2024-07-02,5185.93,ELECTRICITY BILL 188863,Bills & Utilities,Net Banking
2024-08-18,1135.54,IRCTC E-TICKET 942926,Travel,Net Banking
2023-06-24,5917.28,AUTOPAY AMZN PRIME 53802,Entertainment,AutoDebit
2023-04-01,11476.5,SWIGGY NY TXN 354114,Food & Dining,UPI
2023-01-07,2602.79,AUTOPEY TARGET 298909 *POS,Bills & Utilities,AutoDebit
2023-11-14,10364.36,UPI/19363/AMAZON,Shopping,UPI
2025-02-10,10565.07,IRCTC 671732 INDIAN RAIL,Travel,Net Banking
2025-09-12,5337.31,UPI/958300/AMAZON *POS,Shopping,Credit Card
2023-11-12,13575.29,Txn: JIO RECHARGE 475330,Bills & Utilities,Net Banking
2024-01-07,955.17,INDIAN OIL LONDON TXN 184118,Fuel,Debit Card
2023-12-19,3014.09,Credited SUBSCRIPTION AMAZON PRIME 183373,Entertainment,Card
2023-08-15,11935.3,STARBUCKS PARIS POS 281523 *POS,Food & Dining,Card Present
2023-02-06,1548.68,STRIPE*ZALANDO 436021,Shopping,Card
2023-09-04,12452.87,MYNTRA CHICAGO TXN 579711 *ONLINE,Shopping,IMPS
2023-12-30,11447.6,ALDI 612848,Groceries,Debit Card
2024-10-17,12775.62,AMZN MKTP INDIA 717521,Shopping,Credit Card
2024-07-11,5933.47,LIDL PARIS TXN 170900,Shopping,Debit Card
2024-09-27,7576.25,UPI/619496/AMAZON,Shopping,UPI
